Fecha,CLOSE
01/03/2020,"8,486.90"
29/02/2020,"8,557.30"
28/02/2020,"8,728.00"
27/02/2020,"8,825.80"
26/02/2020,"8,813.20"
25/02/2020,"9,327.50"
24/02/2020,"9,674.10"
23/02/2020,"9,985.00"
22/02/2020,"9,662.40"
21/02/2020,"9,693.50"
20/02/2020,"9,608.10"
19/02/2020,"9,592.20"
18/02/2020,"10,183.00"
17/02/2020,"9,708.00"
16/02/2020,"9,929.70"
15/02/2020,"9,901.00"
14/02/2020,"10,335.00"
13/02/2020,"10,222.00"
12/02/2020,"10,339.00"
11/02/2020,"10,247.00"
10/02/2020,"9,850.20"
09/02/2020,"10,151.00"
08/02/2020,"9,877.20"
07/02/2020,"9,805.20"
06/02/2020,"9,744.90"
05/02/2020,"9,612.00"
04/02/2020,"9,197.40"
03/02/2020,"9,309.30"
02/02/2020,"9,353.10"
01/02/2020,"9,410.60"
31/01/2020,"9,367.40"
30/01/2020,"9,512.70"
29/01/2020,"9,304.20"
28/01/2020,"9,393.70"
27/01/2020,"8,912.00"
26/01/2020,"8,621.60"
25/01/2020,"8,353.70"
24/01/2020,"8,447.10"
23/01/2020,"8,403.50"
22/01/2020,"8,663.90"
21/01/2020,"8,734.10"
20/01/2020,"8,638.20"
19/01/2020,"8,694.00"
18/01/2020,"8,891.50"
17/01/2020,"8,875.40"
16/01/2020,"8,720.60"
15/01/2020,"8,807.70"
14/01/2020,"8,775.60"
13/01/2020,"8,094.50"
12/01/2020,"8,174.70"
11/01/2020,"8,013.80"
10/01/2020,"8,176.30"
09/01/2020,"7,817.50"
08/01/2020,"8,036.80"
07/01/2020,"8,150.00"
06/01/2020,"7,757.90"
05/01/2020,"7,364.60"
04/01/2020,"7,369.80"
03/01/2020,"7,367.50"
02/01/2020,"6,989.40"
01/01/2020,"7,212.70"
31/12/2019,"7,208.30"
30/12/2019,"7,260.90"
29/12/2019,"7,417.90"
28/12/2019,"7,334.40"
27/12/2019,"7,287.00"
26/12/2019,"7,232.40"
25/12/2019,"7,220.10"
24/12/2019,"7,276.90"
23/12/2019,"7,347.40"
22/12/2019,"7,532.00"
21/12/2019,"7,166.40"
20/12/2019,"7,212.90"
19/12/2019,"7,181.80"
18/12/2019,"7,323.40"
17/12/2019,"6,667.10"
16/12/2019,"6,926.80"
15/12/2019,"7,152.70"
14/12/2019,"7,100.80"
13/12/2019,"7,283.20"
12/12/2019,"7,224.00"
11/12/2019,"7,230.70"
10/12/2019,"7,254.60"
09/12/2019,"7,379.50"
08/12/2019,"7,564.60"
07/12/2019,"7,543.20"
06/12/2019,"7,588.30"
05/12/2019,"7,440.00"
04/12/2019,"7,238.20"
03/12/2019,"7,336.00"
02/12/2019,"7,350.30"
01/12/2019,"7,450.10"
30/11/2019,"7,599.90"
29/11/2019,"7,796.60"
28/11/2019,"7,460.80"
27/11/2019,"7,549.30"
26/11/2019,"7,198.30"
25/11/2019,"7,168.00"
24/11/2019,"6,965.30"
23/11/2019,"7,352.60"
22/11/2019,"7,323.00"
21/11/2019,"7,671.10"
20/11/2019,"8,126.40"
19/11/2019,"8,164.90"
18/11/2019,"8,219.50"
17/11/2019,"8,537.30"
16/11/2019,"8,523.50"
15/11/2019,"8,495.80"
14/11/2019,"8,655.70"
13/11/2019,"8,801.10"
12/11/2019,"8,830.00"
11/11/2019,"8,737.70"
10/11/2019,"9,068.40"
09/11/2019,"8,828.00"
08/11/2019,"8,782.40"
07/11/2019,"9,208.00"
06/11/2019,"9,353.00"
05/11/2019,"9,333.90"
04/11/2019,"9,441.20"
03/11/2019,"9,222.40"
02/11/2019,"9,332.10"
01/11/2019,"9,289.10"
31/10/2019,"9,185.60"
30/10/2019,"9,184.30"
29/10/2019,"9,445.50"
28/10/2019,"9,225.70"
27/10/2019,"9,571.80"
26/10/2019,"9,270.90"
25/10/2019,"8,679.10"
24/10/2019,"7,453.00"
23/10/2019,"7,493.70"
22/10/2019,"8,058.90"
21/10/2019,"8,243.90"
20/10/2019,"8,260.60"
19/10/2019,"7,992.90"
18/10/2019,"7,987.20"
17/10/2019,"8,092.30"
16/10/2019,"8,016.00"
15/10/2019,"8,191.10"
14/10/2019,"8,370.00"
13/10/2019,"8,305.70"
12/10/2019,"8,318.30"
11/10/2019,"8,280.00"
10/10/2019,"8,596.00"
09/10/2019,"8,607.50"
08/10/2019,"8,211.20"
07/10/2019,"8,227.00"
06/10/2019,"7,883.10"
05/10/2019,"8,162.50"
04/10/2019,"8,170.00"
03/10/2019,"8,257.90"
02/10/2019,"8,413.40"
01/10/2019,"8,334.90"
30/09/2019,"8,331.10"
29/09/2019,"8,090.00"
28/09/2019,"8,238.60"
27/09/2019,"8,213.40"
26/09/2019,"8,103.60"
25/09/2019,"8,474.70"
24/09/2019,"8,547.90"
23/09/2019,"9,702.60"
22/09/2019,"10,052.00"
21/09/2019,"10,013.00"
20/09/2019,"10,198.00"
19/09/2019,"10,301.00"
18/09/2019,"10,185.00"
17/09/2019,"10,214.10"
16/09/2019,"10,295.00"
15/09/2019,"10,322.00"
14/09/2019,"10,379.00"
13/09/2019,"10,374.00"
12/09/2019,"10,452.00"
11/09/2019,"10,175.00"
10/09/2019,"10,122.00"
09/09/2019,"10,318.00"
08/09/2019,"10,415.00"
07/09/2019,"10,488.00"
06/09/2019,"10,317.00"
05/09/2019,"10,578.70"
04/09/2019,"10,590.00"
03/09/2019,"10,641.00"
02/09/2019,"10,388.00"
01/09/2019,"9,779.10"
31/08/2019,"9,623.90"
30/08/2019,"9,601.00"
29/08/2019,"9,509.00"
28/08/2019,"9,727.40"
27/08/2019,"10,184.00"
26/08/2019,"10,377.00"
