Fecha,CLOSE,,,,,,
21/08/2020,"11,705.00",,,,,,
20/08/2020,"11,884.00",,,,,,
19/08/2020,"11,778.00",,,,,,
18/08/2020,"11,961.80",,,,,,
17/08/2020,"12,300.00",,,,,,
16/08/2020,"11,925.00",,,,,,
15/08/2020,"11,873.40",,,,,,
14/08/2020,"11,761.00",,,,,,
13/08/2020,"11,792.50",,,,,,
12/08/2020,"11,591.00",,,,,,
11/08/2020,"11,379.80",,,,,,
10/08/2020,"11,892.00",,,,,,
09/08/2020,"11,675.70",,,,,,
08/08/2020,"11,764.00",,,,,,
07/08/2020,"11,580.00",,,,,,
06/08/2020,"11,759.00",,,,,,
05/08/2020,"11,735.80",,,,,,
04/08/2020,"11,184.00",,,,,,
03/08/2020,"11,226.50",,,,,,
02/08/2020,"11,053.80",,,,,,
01/08/2020,"11,804.70",,,,,,
31/07/2020,"11,350.00",,,,,,
30/07/2020,"11,123.00",,,,,,
29/07/2020,"11,117.00",,,,,,
28/07/2020,"10,932.00",,,,,,
27/07/2020,"11,044.00",,,,,,
26/07/2020,"9,948.10",,,,,,
25/07/2020,"9,714.90",,,,,,
24/07/2020,"9,559.40",,,,,,
23/07/2020,"9,615.00",,,,,,
22/07/2020,"9,557.70",,,,,,
21/07/2020,"9,402.00",,,,,,
20/07/2020,"9,179.20",,,,,,
19/07/2020,"9,231.20",,,,,,
18/07/2020,"9,189.10",,,,,,
17/07/2020,"9,167.30",,,,,,
16/07/2020,"9,149.90",,,,,,
15/07/2020,"9,210.10",,,,,,
14/07/2020,"9,263.40",,,,,,
13/07/2020,"9,252.00",,,,,,
12/07/2020,"9,315.80",,,,,,
11/07/2020,"9,246.30",,,,,,
10/07/2020,"9,305.70",,,,,,
09/07/2020,"9,248.90",,,,,,
08/07/2020,"9,447.00",,,,,,
07/07/2020,"9,267.50",,,,,,
06/07/2020,"9,361.00",,,,,,
05/07/2020,"9,089.70",,,,,,
04/07/2020,"9,147.70",,,,,,
03/07/2020,"9,073.90",,,,,,
02/07/2020,"9,100.00",,,,,,
01/07/2020,"9,239.90",,,,,,
30/06/2020,"9,150.60",,,,,,
29/06/2020,"9,194.40",,,,,,
28/06/2020,"9,127.80",,,,,,
27/06/2020,"9,015.30",,,,,,
26/06/2020,"9,173.10",,,,,,
25/06/2020,"9,257.00",,,,,,
24/06/2020,"9,312.10",,,,,,
23/06/2020,"9,635.10",,,,,,
22/06/2020,"9,697.70",,,,,,
21/06/2020,"9,298.10",,,,,,
20/06/2020,"9,371.30",,,,,,
19/06/2020,"9,315.50",,,,,,
18/06/2020,"9,400.00",,,,,,
17/06/2020,"9,473.30",,,,,,
16/06/2020,"9,534.40",,,,,,
15/06/2020,"9,433.90",,,,,,
14/06/2020,"9,345.40",,,,,,
13/06/2020,"9,480.80",,,,,,
12/06/2020,"9,468.30",,,,,,
11/06/2020,"9,272.20",,,,,,
10/06/2020,"9,898.80",,,,,,
09/06/2020,"9,770.80",,,,,,
08/06/2020,"9,783.20",,,,,,
07/06/2020,"9,746.30",,,,,,
06/06/2020,"9,668.40",,,,,,
05/06/2020,"9,620.50",,,,,,
04/06/2020,"9,790.70",,,,,,
03/06/2020,"9,672.00",,,,,,
02/06/2020,"9,530.00",,,,,,
01/06/2020,"10,221.00",,,,,,
31/05/2020,"9,452.10",,,,,,
30/05/2020,"9,706.40",,,,,,
29/05/2020,"9,426.20",,,,,,
28/05/2020,"9,589.30",,,,,,
27/05/2020,"9,210.30",,,,,,
26/05/2020,"8,845.50",,,,,,
25/05/2020,"8,902.00",,,,,,
24/05/2020,"8,711.50",,,,,,
23/05/2020,"9,174.60",,,,,,
22/05/2020,"9,162.40",,,,,,
21/05/2020,"9,059.50",,,,,,
20/05/2020,"9,502.00",,,,,,
19/05/2020,"9,770.10",,,,,,
18/05/2020,"9,714.80",,,,,,
17/05/2020,"9,668.20",,,,,,
16/05/2020,"9,388.00",,,,,,
15/05/2020,"9,313.30",,,,,,
14/05/2020,"9,791.00",,,,,,
13/05/2020,"9,312.00",,,,,,
12/05/2020,"8,811.40",,,,,,
11/05/2020,"8,555.00",,,,,,
10/05/2020,"8,726.00",,,,,,
09/05/2020,"9,537.90",,,,,,
08/05/2020,"9,792.80",,,,,,
07/05/2020,"9,979.60",,,,,,
06/05/2020,"9,157.90",,,,,,
05/05/2020,"9,020.10",,,,,,
04/05/2020,"8,865.80",,,,,,
03/05/2020,"8,899.80",,,,,,
02/05/2020,"8,982.30",,,,,,
01/05/2020,"8,822.90",,,,,,
30/04/2020,"8,635.30",,,,,,
29/04/2020,"8,773.30",,,,,,
28/04/2020,"7,755.80",,,,,,
27/04/2020,"7,777.70",,,,,,
26/04/2020,"7,697.10",,,,,,
25/04/2020,"7,538.50",,,,,,
24/04/2020,"7,506.80",,,,,,
23/04/2020,"7,495.20",,,,,,
22/04/2020,"7,133.00",,,,,,
21/04/2020,"6,850.00",,,,,,
20/04/2020,"6,841.90",,,,,,
19/04/2020,"7,133.30",,,,,,
18/04/2020,"7,269.10",,,,,,
17/04/2020,"7,045.80",,,,,,
16/04/2020,"7,114.90",,,,,,
15/04/2020,"6,633.80",,,,,,
14/04/2020,"6,872.40",,,,,,
13/04/2020,"6,848.70",,,,,,
12/04/2020,"6,913.00",,,,,,
11/04/2020,"6,884.50",,,,,,
10/04/2020,"6,875.50",,,,,,
09/04/2020,"7,293.50",,,,,,
08/04/2020,"7,367.00",,,,,,
07/04/2020,"7,203.00",,,,,,
06/04/2020,"7,346.00",,,,,,
05/04/2020,"6,778.00",,,,,,
04/04/2020,"6,881.60",,,,,,
03/04/2020,"6,740.80",,,,,,
02/04/2020,"6,818.30",,,,,,
01/04/2020,"6,675.00",,,,,,
31/03/2020,"6,427.70",,,,,,
30/03/2020,"6,407.60",,,,,,
